Time (sec),Position[2],Position[3],,,,,
1744147810.45958,-4.72955026981036E-14,-1.15513104829184E-13,,,,,
1744147810.47059,-4.73090365769822E-14,-1.07492431294126E-13,,,,,
1744147810.48122,-4.73809080137356E-14,-8.71396869561651E-14,,,,,
1744147810.49147,-4.7518499232536E-14,-4.97611677852564E-14,,,,,
1744147810.50322,-4.77388450552871E-14,3.87444593316153E-15,,,,,
1744147810.51316,-4.8061992813839E-14,6.33317331882961E-14,,,,,
1744147810.52403,-4.84968682025767E-14,1.13602107423153E-13,,,,,
1744147810.53421,-4.90371546596434E-14,1.45689899807262E-13,,,,,
1744147810.54456,-4.96713291759296E-14,1.59858089432254E-13,,,,,
1744147810.55529,-5.03923203680259E-14,1.61252836814078E-13,,,,,
1744147810.56576,-5.11996815988475E-14,1.55347006410367E-13,,,,,
1744147810.57652,-5.20979338830333E-14,1.46086791311299E-13,,,,,
1744147810.58689,-5.30945058486085E-14,1.35813733082553E-13,,,,,
1744147810.59721,-5.41985905000038E-14,1.25737848945097E-13,,,,,
1744147810.60866,-5.54206208978846E-14,1.16399353690235E-13,,,,,
1744147810.61904,-5.67722774233055E-14,1.0798198868644E-13,,,,,
1744147810.63097,-5.82666184782827E-14,1.00496274706334E-13,,,,,
1744147810.64095,-5.9918359396802E-14,9.38771082283854E-14,,,,,
1744147810.65185,-6.17442650886364E-14,8.80330340888388E-14,,,,,
1744147810.66181,-6.37634029295026E-14,8.28692497039424E-14,,,,,
1744147810.67235,-6.59975877718422E-14,7.82975095278431E-14,,,,,
1744147810.68408,-6.8471788954318E-14,7.42397274227246E-14,,,,,
1744147810.69376,-7.12144793607028E-14,7.06284470941303E-14,,,,,
1744147810.70437,-7.425791986032E-14,6.74061401784771E-14,,,,,
1744147810.71545,-7.76382507062859E-14,6.45240028328534E-14,,,,,
1744147810.72616,-8.13949973561603E-14,6.19407742257024E-14,,,,,
1744147810.73664,-8.55696024622046E-14,5.96215114967868E-14,,,,,
1744147810.74693,-9.02019345235458E-14,5.75365242846091E-14,,,,,
1744147810.75794,-9.5322981772997E-14,5.5660710761001E-14,,,,,
1744147810.76781,-1.00939851264219E-13,5.39726008769169E-14,,,,,
1744147810.77836,-1.0700643881771E-13,5.245392073E-14,,,,,
1744147810.7889,-1.13366097602547E-13,5.10890574023907E-14,,,,,
1744147810.79933,-1.19642029850395E-13,4.98645775478568E-14,,,,,
1744147810.80967,-1.25032203726212E-13,4.87690629725339E-14,,,,,
1744147810.82047,-1.27951072215137E-13,4.77928012307305E-14,,,,,
1744147810.8308,-1.25504167231816E-13,4.69277260480189E-14,,,,,
1744147810.84064,-1.13068809150011E-13,4.61675237356777E-14,,,,,
1744147810.85112,-8.51063681393423E-14,4.55076587914164E-14,,,,,
1744147810.86245,-3.90545084937843E-14,4.49451302520419E-14,,,,,
1744147810.87334,1.89943564933779E-14,4.44768872810609E-14,,,,,
1744147810.88432,7.49392072961174E-14,4.40982614529965E-14,,,,,
1744147810.89486,1.16380012185339E-13,4.38036861283058E-14,,,,,
1744147810.90555,1.39700857223413E-13,4.35886309749872E-14,,,,,
1744147810.91684,1.48180488825336E-13,4.34506656183459E-14,,,,,
1744147810.92741,1.47113500530743E-13,4.33889643062904E-14,,,,,
1744147810.93777,1.40943098667672E-13,4.34037152393771E-14,,,,,
1744147810.94825,1.32577639734465E-13,4.34956588078216E-14,,,,,
1744147810.96023,1.2366362947103E-13,4.36659874434575E-14,,,,,
1744147810.97131,1.14199969255307E-13,4.39458073457868E-14,,,,,
1744147810.98194,1.06286764766931E-13,4.42865366622931E-14,,,,,
1744147810.99233,9.91421341766559E-14,4.47122417809645E-14,,,,,
1744147811.00289,9.27585896048078E-14,4.52262105584417E-14,,,,,
1744147811.01367,8.70807297840455E-14,4.58324059569531E-14,,,,,
1744147811.02373,8.20367189478672E-14,4.65355782998972E-14,,,,,
1744147811.03514,7.75533493261316E-14,4.73413240830343E-14,,,,,
1744147811.0453,7.35624406754867E-14,4.82562075542075E-14,,,,,
1744147811.05572,7.00033673377929E-14,4.92879353173267E-14,,,,,
1744147811.06613,6.68232249091023E-14,5.0445478115377E-14,,,,,
1744147811.07675,6.39764891496551E-14,5.17393240593892E-14,,,,,
1744147811.08768,6.14241984276788E-14,5.31816325309377E-14,,,,,
1744147811.09823,5.91331602866861E-14,5.47866020248332E-14,,,,,
1744147811.11017,5.70749162221353E-14,5.65708085692774E-14,,,,,
1744147811.12016,5.52252470955046E-14,5.85535848171535E-14,,,,,
1744147811.13077,5.35633646447315E-14,6.07575552759806E-14,,,,,
1744147811.14125,5.20714470526604E-14,6.32092307895177E-14,,,,,
1744147811.15122,5.07342779822577E-14,6.59396762978817E-14,,,,,
1744147811.16188,4.95386775534301E-14,6.89854096140431E-14,,,,,
1744147811.17203,4.84733754100558E-14,7.23892783807535E-14,,,,,
1744147811.18283,4.75286169919652E-14,7.62013162311197E-14,,,,,
1744147811.19327,4.66960755451584E-14,8.04797532785812E-14,,,,,
1744147811.20356,4.59685578761121E-14,8.52913495226306E-14,,,,,
1744147811.21428,4.53399511716625E-14,9.07106591024428E-14,,,,,
1744147811.22499,4.48050363400493E-14,9.68169515202598E-14,,,,,
1744147811.23606,4.43594171379747E-14,1.03685475282162E-13,,,,,
1744147811.24758,4.39994240425284E-14,1.11367728983479E-13,,,,,
1744147811.25843,4.37220299680211E-14,1.19848276207688E-13,,,,,
1744147811.2688,4.35247816427632E-14,1.289550359469E-13,,,,,
1744147811.27946,4.3405738189012E-14,1.38177745850078E-13,,,,,
1744147811.28928,4.33633635091294E-14,1.46321617088261E-13,,,,,
1744147811.29975,4.33965270513E-14,1.50925340686348E-13,,,,,
1744147811.31025,4.35045597746921E-14,1.47568921919296E-13,,,,,
1744147811.32057,4.36877672278067E-14,1.29983777370003E-13,,,,,
1744147811.33064,4.39483611559705E-14,9.30868681766867E-14,,,,,
1744147811.34109,4.42909868911541E-14,3.92728115587063E-14,,,,,
1744147811.3515,4.47213435014198E-14,-1.92428653372725E-14,,,,,
1744147811.36272,4.52438046989889E-14,-6.83825257693419E-14,,,,,
1744147811.37537,4.58610526780633E-14,-1.01268936777754E-13,,,,,
1744147811.38556,4.65757405084641E-14,-1.18766183769434E-13,,,,,
1744147811.39618,4.73918331717464E-14,-1.25156362520165E-13,,,,,
1744147811.40624,4.83150041352484E-14,-1.24771770666359E-13,,,,,
1744147811.41757,4.93526335631581E-14,-1.20776254210691E-13,,,,,
1744147811.42733,5.05137214448144E-14,-1.15143098701795E-13,,,,,
1744147811.43812,5.18089579052179E-14,-1.08988386789149E-13,,,,,
1744147811.44823,5.32508677833903E-14,-1.02895104443448E-13,,,,,
1744147811.45921,5.48540369595783E-14,-9.71412083588119E-14,,,,,
1744147811.4691,5.66355732224919E-14,-9.18394849159532E-14,,,,,
1744147811.47967,5.86154063764657E-14,-8.70172561722489E-14,,,,,
1744147811.49199,6.08169595523391E-14,-8.26602153753015E-14,,,,,
1744147811.50214,6.32677206091064E-14,-7.87355863616003E-14,,,,,
1744147811.51348,6.60001237800181E-14,-7.52042177504403E-14,,,,,
1744147811.52315,6.9052416031432E-14,-7.20264626807234E-14,,,,,
1744147811.53329,7.24698764649969E-14,-6.91649834522438E-14,,,,,
1744147811.54578,7.63060870025983E-14,-6.65859318152774E-14,,,,,
1744147811.55704,8.0624284061207E-14,-6.42591366188735E-14,,,,,
1744147811.56881,8.54985983922736E-14,-6.21580964382794E-14,,,,,
1744147811.57844,9.10149803398623E-14,-6.0259539727672E-14,,,,,
1744147811.59012,9.72703999162881E-14,-5.85431450417867E-14,,,,,
1744147811.60018,1.04368559866727E-13,-5.69911496524864E-14,,,,,
1744147811.61048,1.12407757754844E-13,-5.5587904768372E-14,,,,,
1744147811.6211,1.21451780989154E-13,-5.43196156244172E-14,,,,,
1744147811.63172,1.31464678292979E-13,-5.31739626481762E-14,,,,,
1744147811.64155,1.42172274018856E-13,-5.21398525947285E-14,,,,,
1744147811.65145,1.52782588945866E-13,-5.12072267648663E-14,,,,,
1744147811.66262,1.61468718886182E-13,-5.03673766163471E-14,,,,,
1744147811.67373,1.64597599829581E-13,-4.96138175224249E-14,,,,,
1744147811.68399,1.56215880032191E-13,-4.89448928763901E-14,,,,,
1744147811.69464,1.29603934420627E-13,-4.83667147324649E-14,,,,,
1744147811.70637,8.28571464449822E-14,-4.78918611097877E-14,,,,,
1744147811.7175,2.43970567841221E-14,-4.75283466205529E-14,,,,,
1744147811.72781,-3.09962718118069E-14,-4.72691039335567E-14,,,,,
1744147811.74,-7.26514331199281E-14,-4.70965090578823E-14,,,,,
1744147811.75051,-9.82982391963601E-14,-4.69944254466783E-14,,,,,
1744147811.76156,-1.10981958505583E-13,-4.69539633604143E-14,,,,,
1744147811.77138,-1.15028277557972E-13,-4.69724972815569E-14,,,,,
1744147811.78199,-1.14023254453303E-13,-4.70507321719112E-14,,,,,
1744147811.79298,-1.1038423698053E-13,-4.71907768318077E-14,,,,,
1744147811.80341,-1.05567699512185E-13,-4.73951478300139E-14,,,,,
1744147811.81404,-1.00388416619863E-13,-4.76665905561662E-14,,,,,
1744147811.82379,-9.52737073994716E-14,-4.80078857719963E-14,,,,,
1744147811.83573,-9.04308192646857E-14,-4.84221168400627E-14,,,,,
1744147811.84588,-8.59467465378413E-14,-4.89126640316886E-14,,,,,
1744147811.85613,-8.18452969976035E-14,-4.94833743130224E-14,,,,,
1744147811.86733,-7.81184556794123E-14,-5.01386282674168E-14,,,,,
1744147811.8774,-7.47433940560046E-14,-5.08834586258312E-14,,,,,
1744147811.88766,-7.16915752756794E-14,-5.17236770371708E-14,,,,,
1744147811.89847,-6.8933452660832E-14,-5.2665978612481E-14,,,,,
1744147811.91126,-6.64406258608149E-14,-5.37179923674535E-14,,,,,
1744147811.92203,-6.41870059355919E-14,-5.488855747714E-14,,,,,
1744147811.93303,-6.21490298109283E-14,-5.61878275762009E-14,,,,,
1744147811.94276,-6.03058268660543E-14,-5.76273984779215E-14,,,,,
1744147811.95382,-5.86389989490441E-14,-5.92205757282031E-14,,,,,
1744147811.96434,-5.71324155168162E-14,-6.09826514023772E-14,,,,,
1744147811.97504,-5.57719329894E-14,-6.29310223916633E-14,,,,,
1744147811.9857,-5.45452327159219E-14,-6.50856082546853E-14,,,,,
1744147811.9954,-5.34415574592669E-14,-6.74689080838762E-14,,,,,
1744147812.00578,-5.24515666550888E-14,-7.01062281337237E-14,,,,,
1744147812.01703,-5.15671097051356E-14,-7.30255262919689E-14,,,,,
1744147812.02733,-5.07811083413142E-14,-7.62570376503856E-14,,,,,
1744147812.03847,-5.00873877612017E-14,-7.9831829209075E-14,,,,,
1744147812.04873,-4.94806250200223E-14,-8.37790518576384E-14,,,,,
1744147812.05966,-4.89561811961505E-14,-8.81203026323014E-14,,,,,
1744147812.06986,-4.85099845141176E-14,-9.28583092773095E-14,,,,,
1744147812.07978,-4.8138461985664E-14,-9.7956026122312E-14,,,,,
1744147812.09121,-4.78384421025949E-14,-1.03295834036728E-13,,,,,
1744147812.10108,-4.76069884659564E-14,-1.08603672298524E-13,,,,,
1744147812.11137,-4.74412199711054E-14,-1.13307085196395E-13,,,,,
1744147812.12202,-4.7338258549165E-14,-1.16281213843747E-13,,,,,
1744147812.13274,-4.72952194092047E-14,-1.15437339827943E-13,,,,,
1744147812.14276,-4.73099142517698E-14,-1.07219656024542E-13,,,,,
1744147812.15338,-4.73830179385023E-14,-8.65592597791596E-14,,,,,
1744147812.16339,-4.7522099013718E-14,-4.88125215353967E-14,,,,,
